Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,The Super Mario Bros. Movie,"$1,356,190,570","$574,216,720",42.30%,"$781,973,850",57.70%
2,Barbie,"$1,066,808,894","$492,608,894",46.20%,"$574,200,000",53.80%
3,Guardians of the Galaxy Vol. 3,"$845,431,987","$358,995,815",42.50%,"$486,436,172",57.50%
4,Fast X,"$704,709,660","$145,960,660",20.70%,"$558,749,000",79.30%
5,Spider-Man: Across the Spider-Verse,"$684,106,311","$380,418,189",55.60%,"$303,688,122",44.40%
6,Oppenheimer,"$572,676,475","$245,469,475",42.90%,"$327,207,000",57.10%
7,The Little Mermaid,"$566,623,843","$297,155,805",52.40%,"$269,468,038",47.60%
8,Mission: Impossible - Dead Reckoning Part One,"$497,690,870","$154,890,870",31.10%,"$342,800,000",68.90%
9,Ant-Man and the Wasp: Quantumania,"$476,071,180","$214,504,909",45.10%,"$261,566,271",54.90%
10,Transformers: Rise of the Beasts,"$433,766,392","$157,066,392",36.20%,"$276,700,000",63.80%
11,John Wick: Chapter 4,"$426,521,880","$187,131,806",43.90%,"$239,390,074",56.10%
12,Elemental,"$426,032,520","$149,525,613",35.10%,"$276,506,907",64.90%
13,Indiana Jones and the Dial of Destiny,"$369,821,274","$171,725,353",46.40%,"$198,095,921",53.60%
14,Creed III,"$275,248,615","$156,248,615",56.80%,"$119,000,000",43.20%
15,The Flash,"$268,478,637","$108,078,637",40.30%,"$160,400,000",59.70%
16,Dungeons & Dragons: Honor Among Thieves,"$208,177,026","$93,277,026",44.80%,"$114,900,000",55.20%
17,Insidious: The Red Door,"$182,877,827","$81,077,827",44.30%,"$101,800,000",55.70%
18,Scream VI,"$168,961,389","$108,161,389",64%,"$60,800,000",36%
19,Sound of Freedom,"$167,981,398","$167,981,398",100%,-,-
20,Meg 2: The Trench,"$157,136,917","$41,436,917",26.40%,"$115,700,000",73.60%
21,Evil Dead Rise,"$146,733,054","$67,233,054",45.80%,"$79,500,000",54.20%
22,Shazam! Fury of the Gods,"$133,838,006","$57,638,006",43.10%,"$76,200,000",56.90%
23,Pathaan,"$128,780,000","$17,487,476",13.60%,"$95,095,974",73.80%
24,Detective Conan: Black Iron Submarine,"$105,332,916",-,-,"$105,332,916",100%
25,Air,"$89,960,106","$52,460,106",58.30%,"$37,500,000",41.70%
26,Cocaine Bear,"$87,649,532","$64,388,510",73.50%,"$23,261,022",26.50%
27,No Hard Feelings,"$85,121,295","$50,425,720",59.20%,"$34,695,575",40.80%
28,The Roundup: No Way Out,"$83,250,802","$909,411",1.10%,"$82,341,391",98.90%
29,The Pope's Exorcist,"$76,160,110","$20,009,380",26.30%,"$56,150,730",73.70%
30,Chebi: My Fluffy Friend,"$73,792,865",-,-,"$73,792,865",100%
31,Titanic 25 Year Anniversary,"$70,157,472","$15,033,795",21.40%,"$55,123,677",78.60%
32,The Boogeyman,"$66,992,671","$43,244,282",64.60%,"$23,748,389",35.40%
33,Teenage Mutant Ninja Turtles: Mutant Mayhem,"$66,884,076","$57,039,501",85.30%,"$9,844,575",14.70%
34,Haunted Mansion,"$65,277,492","$47,257,146",72.40%,"$18,020,346",27.60%
35,65,"$60,730,568","$32,062,904",52.80%,"$28,667,664",47.20%
36,Magic Mike's Last Dance,"$57,105,156","$26,005,156",45.50%,"$31,100,000",54.50%
37,Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,"$56,119,404","$10,117,806",18%,"$46,001,598",82%
38,Knock at the Cabin,"$54,760,947","$35,397,980",64.60%,"$19,362,967",35.40%
39,Mummies,"$54,275,970","$4,275,970",7.90%,"$50,000,000",92.10%
40,Jesus Revolution,"$52,415,797","$52,102,987",99.40%,"$312,810",0.60%
41,Plane,"$52,228,094","$32,111,181",61.50%,"$20,116,913",38.50%
42,Missing,"$48,767,848","$32,502,025",66.60%,"$16,265,823",33.40%
43,Asteroid City,"$47,350,005","$27,841,680",58.80%,"$19,508,325",41.20%
44,Asterix & Obelix: The Middle Kingdom,"$46,497,671",-,-,"$46,497,671",100%
45,"Ruby Gillman, Teenage Kraken","$40,997,431","$15,715,985",38.30%,"$25,281,446",61.70%
46,80 for Brady,"$40,362,938","$39,330,588",97.40%,"$1,032,350",2.60%
47,The Boy and the Heron,"$38,658,002",-,-,"$38,658,002",100%
48,Operation Fortune: Ruse de Guerre,"$37,846,956","$6,496,125",17.20%,"$31,350,831",82.80%
49,Doraemon the Movie: Nobita's Sky Utopia,"$36,423,367",-,-,"$36,423,367",100%
50,Ride On,"$36,232,675","$128,950",0.40%,"$36,103,725",99.60%
51,Alibi.com 2,"$33,886,922",-,-,"$33,886,922",100%
52,Talk to Me,"$31,408,016","$26,204,989",83.40%,"$5,203,027",16.60%
53,The Three Musketeers: D'Artagnan,"$31,165,459",-,-,"$31,165,459",100%
54,Tokyo MER,"$30,226,383",-,-,"$30,226,383",100%
55,BTS: Yet to Come in Cinemas,"$29,291,883","$8,093,270",27.60%,"$21,198,613",72.40%
56,Book Club: The Next Chapter,"$28,035,875","$17,556,340",62.60%,"$10,479,535",37.40%
57,Renfield,"$26,348,156","$17,152,625",65.10%,"$9,195,531",34.90%
